index_date;fertilizer_sales
2008-01-01;2243059.60256096
2008-02-01;2265558.99240579
2008-03-01;2372536.2997436
2008-04-01;2436778.37926132
2008-05-01;2361263.31705283
2008-06-01;2484559.38104556
2008-07-01;2007929.41172203
2008-08-01;1496799.53290381
2008-09-01;1358668.65613858
2008-10-01;997313.090909608
2008-11-01;871289.25904325
2008-12-01;1504386.87235312
2009-01-01;1713334.59904155
2009-02-01;1798529.07349756
2009-03-01;2036510.39405139
2009-04-01;1833516.04398516
2009-05-01;1727429.53251047
2009-06-01;1865886.0609569
2009-07-01;1983765.46298689
2009-08-01;1929997.54798376
2009-09-01;1832011.0381889
2009-10-01;1827184.60739033
2009-11-01;1834007.3767483
2009-12-01;1969304.53905792
2010-01-01;2030250.83490582
2010-02-01;2020299.64811054
2010-03-01;1994998.82262436
2010-04-01;1937035.97417128
2010-05-01;1687926.55665924
2010-06-01;1757839.8072721
2010-07-01;1863354.7030662
2010-08-01;1970582.89425779
2010-09-01;2191625.41247583
2010-10-01;2328733.5638424
2010-11-01;2397157.78086112
2010-12-01;2267875.02183028
2011-01-01;2159900.8102141
2011-02-01;2279162.88898853
2011-03-01;2243443.40303072
2011-04-01;2243087.55390177
2011-05-01;2502223.94727448
2011-06-01;2607025.17158043
2011-07-01;2340057.4762668
2011-08-01;2336459.46896609
2011-09-01;2459578.67850447
2011-10-01;2284338.04234797
2011-11-01;2398243.41292238
2011-12-01;2394957.74841614
2012-01-01;2334328.04607202
2012-02-01;2326757.9156873
2012-03-01;2528679.81086227
2012-04-01;2481967.95276832
2012-05-01;2672882.74987911
2012-06-01;2454240.42097117
2012-07-01;2201390.92841657
2012-08-01;2610961.08738661
2012-09-01;2418872.08532663
2012-10-01;2521320.38277347
2012-11-01;2492882.78116242
2012-12-01;2429457.80229698
2013-01-01;2520361.47648907
2013-02-01;2392757.24738284
2013-03-01;2514494.77372524
2013-04-01;2756859.76764376
2013-05-01;2609340.84522748
2013-06-01;2554918.80514421
2013-07-01;2532502.92612071
2013-08-01;2736830.22174594
2013-09-01;2521778.35930013
2013-10-01;2767683.06382743
2013-11-01;2581956.50072451
2013-12-01;2548481.8707719
2014-01-01;2696666.81628897
2014-02-01;2763324.57527497
2014-03-01;2619082.49875207
2014-04-01;2805626.63207083
2014-05-01;2917738.63805879
2014-06-01;1599672.5918433
2014-07-01;2751391.82442652
2014-08-01;2600849.50054403
2014-09-01;2779919.06486675
2014-10-01;2658235.85268353
2014-11-01;2526759.34042443
2014-12-01;2575650.12499923
2015-01-01;2465058.29509229
2015-02-01;2532612.90482055
2015-03-01;2732655.16131345
2015-04-01;2497627.15084648
2015-05-01;2389305.49222027
2015-06-01;2543804.12625756
2015-07-01;2687394.0332323
2015-08-01;2515126.29209179
2015-09-01;2577013.20954492
2015-10-01;2367369.79174186
2015-11-01;2255049.24326183
2015-12-01;2593810.69260461
2016-01-01;2513465.35372521
2016-02-01;2882199.35128341
2016-03-01;2756837.56038718
2016-04-01;2756762.61748061
2016-05-01;2727428.75873056
2016-06-01;2845562.28136789
2016-07-01;2705728.77621811
2016-08-01;2819115.05765051
2016-09-01;2768013.1001134
2016-10-01;2665587.49635346
2016-11-01;2997744.6888808
2016-12-01;3237526.13986314
2017-01-01;3012187.49778829
2017-02-01;2764407.82200274
2017-03-01;2862164.08613465
2017-04-01;2612221.93535089
2017-05-01;2853718.87096572
2017-06-01;2724158.06474563
2017-07-01;2661083.07125264
2017-08-01;2914758.61034981
2017-09-01;3018795.28659863
2017-10-01;3031045.40892469
2017-11-01;3070439.37883324
2017-12-01;2901213.38772867
2018-01-01;2796901.31618157
2018-02-01;2858064.81503826
2018-03-01;2937635.39836237
2018-04-01;2989344.94878822
2018-05-01;2188550.96275776
2018-06-01;2803677.47529032
2018-07-01;3182967.15760782
2018-08-01;3655655.91416305
2018-09-01;3043463.66956497
2018-10-01;3113274.66946142
2018-11-01;3052004.82687801
2018-12-01;2890848.07922324
2019-01-01;3023760.01598427
2019-02-01;2971163.78300409
2019-03-01;2834103.85795899
2019-04-01;2991837.45589219
2019-05-01;2831875.30011575
2019-06-01;2823920.40779456
2019-07-01;3085077.52644031
2019-08-01;3201881.52332659
2019-09-01;3036175.55568204
2019-10-01;3206007.94763045
2019-11-01;3003214.1003295
2019-12-01;3125640.83498859
2020-01-01;3347172.85334345
2020-02-01;3313819.7169537
2020-03-01;3134471.68672813
2020-04-01;3355634.975912
2020-05-01;3524435.07481064
2020-06-01;3339020.4688972
2020-07-01;3234001.73352695
2020-08-01;3289663.86717986
2020-09-01;3444515.37895353
2020-10-01;3282820.12147335
2020-11-01;3545869.04204642
2020-12-01;3780358.57053023
2021-01-01;3689667.83403512
2021-02-01;3771249.53266824
2021-03-01;3846405.29118244
2021-04-01;3245303.66021273
2021-05-01;3890913.7465003
2021-06-01;4068420.75277935
2021-07-01;4081477.9201638
2021-08-01;3919622.11532672
